ntpd-service,2020.06.29 1,https://github.com/Himmalerin/kiss-himmalerin,extra/ntpd-service,
youtube-dl,2020.05.29 1,https://github.com/Himmalerin/kiss-himmalerin,modified/youtube-dl,
firefox,87.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/firefox,
mesa,21.0.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/mesa,
swayidle,1.6 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swayidle,
wlvncc,git 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlvncc,
xorg-server,1.20.10 2,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/xorg-server,
wayland-protocols,1.20 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayland-protocols,
tllist,1.0.5 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/tllist,
gtk+3,3.24.26 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/gtk+3,
wlsunset-git,git 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlsunset-git,
foot,1.6.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/foot,
font-util,1.3.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/font-util,
slurp,1.3.1 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/slurp,
sway,1.6 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/sway,
libvncserver,0.9.13 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/libvncserver,
swaylock,1.5 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swaylock,
wayland,1.19.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayland,
wl-clipboard,2.0.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wl-clipboard,
swaybg,1.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swaybg,
fcft,2.3.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/fcft,
wayvnc,0.3.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayvnc,
gammastep,2.0.7 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/gammastep,
wlroots,0.13.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlroots,
grim,1.3.1 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/grim,
zig,0.8.0 1,https://github.com/Ominitay/kiss-zig,zig/zig,
llvm,12.0.0 2,https://github.com/Ominitay/kiss-zig,zig/llvm,
zig-master,git 1,https://github.com/Ominitay/kiss-zig,zig/zig-master,
ffmpeg,4.2.2 2,https://github.com/SparklingPower/my-kiss-repo,ffmpeg,
sowm,1.6 1,https://github.com/SparklingPower/my-kiss-repo,sowm,
openssh,8.2p1 1,https://github.com/SparklingPower/my-kiss-repo,openssh,
libedit,3.1 1,https://github.com/SparklingPower/my-kiss-repo,libedit,
st,0.8.2 3,https://github.com/SparklingPower/my-kiss-repo,st,
mpv,0.32.0 1,https://github.com/SparklingPower/my-kiss-repo,mpv,
xf86-input-wacom,0.39.0 1,https://github.com/SparklingPower/my-kiss-repo,xf86-input-wacom,
libucl,0.8.1 1,https://github.com/Xeno-Hypster/kiss-xeno,core/libucl,
bmake,20210621 1,https://github.com/Xeno-Hypster/kiss-xeno,core/bmake,
gcc-fort,11.1.0 4,https://github.com/Xeno-Hypster/kiss-xeno,core/gcc-fort,
hikari,2.3.2 1,https://github.com/Xeno-Hypster/kiss-xeno,extra/hikari,
labwc,0.3.0 1,https://github.com/Xeno-Hypster/kiss-xeno,extra/labwc,
neatvi-git,git 1,https://github.com/Xeno-Hypster/kiss-xeno,extra/neatvi-git,
amfora,1.8.0 1,https://github.com/aabacchus/kiss-repo,amfora,a fancy terminal browser for the gemini protocol
nilfs-utils,2.2.8 1,https://github.com/aabacchus/kiss-repo,nilfs-utils,
newsboat,2.23 1,https://github.com/aabacchus/kiss-repo,newsboat,
b3sum,0.3.8 1,https://github.com/aabacchus/kiss-repo,b3sum,
fantasque-sans-mono,1.8.0 1,https://github.com/aabacchus/kiss-repo,fantasque-sans-mono,
gpgme,1.15.1 1,https://github.com/aabacchus/kiss-repo,gpgme,
lld,12.0.1 1,https://github.com/aabacchus/kiss-repo,lld,
gdbm,1.19 1,https://github.com/aabacchus/kiss-repo,gdbm,
netbsd-curses,0.3.1 1,https://github.com/aabacchus/kiss-repo,netbsd-curses,
gtk+2,2.24.33 1,https://github.com/aabacchus/kiss-repo,gtk+2,
weston,git 1,https://github.com/aabacchus/kiss-repo,weston,
gomuks,git 1,https://github.com/aabacchus/kiss-repo,gomuks,
abcm2ps,8.14.12 1,https://github.com/aabacchus/kiss-repo,abcm2ps,
picom-ibhagwan,7.5 1,https://github.com/aabacchus/kiss-repo,picom-ibhagwan,
brightnessctl,0.5.1 1,https://github.com/aabacchus/kiss-repo,brightnessctl,
claws-mail,3.17.8 1,https://github.com/aabacchus/kiss-repo,claws-mail,
stfl,0.24 1,https://github.com/aabacchus/kiss-repo,stfl,
jonaburg-picom,8 1,https://github.com/aabacchus/kiss-repo,jonaburg-picom,
