octave,5.2.0 3,https://github.com/aosync/kiss-octave,octave,master," "
arpack-ng,git 1,https://github.com/aosync/kiss-octave,arpack-ng,master," "
portaudio,190600 2,https://github.com/aosync/kiss-octave,portaudio,master," "
octave-gui,5.2.0 3,https://github.com/aosync/kiss-octave,octave-gui,master," "
fltk,1.3.5 2,https://github.com/aosync/kiss-octave,fltk,master," "
fftw,3.3.8 1,https://github.com/aosync/kiss-octave,fftw,master," "
qhull,8.0.0 1,https://github.com/aosync/kiss-octave,qhull,master," "
pylint,2.5.3 1,https://github.com/cemkeylan/backyard,backyard/pylint,master," "
abook,0.5.4 1,https://github.com/cemkeylan/backyard,backyard/abook,master," "
gnu-efi,3.0.12 1,https://github.com/cemkeylan/backyard,backyard/gnu-efi,master," "
popt,1.16 1,https://github.com/cemkeylan/backyard,backyard/popt,master," "
mg,git 1,https://github.com/cemkeylan/backyard,backyard/mg,master," "
libunistring,0.9.10 1,https://github.com/cemkeylan/backyard,backyard/libunistring,master," "
outils,git 1,https://github.com/cemkeylan/backyard,backyard/outils,master," "
pax,20200904 1,https://github.com/cemkeylan/backyard,backyard/pax,master," "
hplip,3.20.5 1,https://github.com/cemkeylan/backyard,backyard/hplip,master," "
kcov,38 1,https://github.com/cemkeylan/backyard,backyard/kcov,master," "
devour,11.0 1,https://github.com/cemkeylan/backyard,backyard/devour,master," "
vis,0.22 2,https://github.com/cemkeylan/backyard,backyard/vis,master," "
yash,2.49 1,https://github.com/cemkeylan/backyard,backyard/yash,master," "
librsvg,2.50.1 1,https://github.com/cemkeylan/backyard,backyard/librsvg,master," "
uemacs,git 1,https://github.com/cemkeylan/backyard,backyard/uemacs,master," "
inetutils,1.9.4 1,https://github.com/cemkeylan/backyard,backyard/inetutils,master," "
libevent,2.1.11 1,https://github.com/cemkeylan/backyard,backyard/libevent,master," "
openresolv,3.10.0 1,https://github.com/cemkeylan/backyard,backyard/openresolv,master," "
refind,0.12.0 1,https://github.com/cemkeylan/backyard,backyard/refind,master," "
hitch,1.5.2 1,https://github.com/cemkeylan/backyard,backyard/hitch,master," "
guile,2.0.14 1,https://github.com/cemkeylan/backyard,backyard/guile,master," "
sane,1.0.30 1,https://github.com/cemkeylan/backyard,backyard/sane,master," "
acl,2.2.53 1,https://github.com/cemkeylan/backyard,backyard/acl,master," "
python-pyserial,3.4 1,https://github.com/cemkeylan/backyard,backyard/python-pyserial,master," "
nvi,1.81.6 1,https://github.com/cemkeylan/backyard,backyard/nvi,master," "
redo-py,0.42c 1,https://github.com/cemkeylan/backyard,backyard/redo-py,master," "
grabc,1.0.2 1,https://github.com/cemkeylan/backyard,backyard/grabc,master," "
sb,1.4.0 1,https://github.com/cemkeylan/kiss-repository,personal/sb,master," "
dmenu,5.0-1 1,https://github.com/cemkeylan/kiss-repository,personal/dmenu,master," "
aspell-de,20161207-7-0 1,https://github.com/cemkeylan/kiss-repository,personal/aspell-de,master," "
abook,0.5.4 1,https://github.com/cemkeylan/kiss-repository,personal/abook,master," "
htop-vim,git 1,https://github.com/cemkeylan/kiss-repository,personal/htop-vim,master," "
sxss,0.1.0 1,https://github.com/cemkeylan/kiss-repository,personal/sxss,master," "
mu,1.4.13 1,https://github.com/cemkeylan/kiss-repository,personal/mu,master," "
merge-hosts,0.01.0 1,https://github.com/cemkeylan/kiss-repository,personal/merge-hosts,master," "
aspell-tr,0.50.0 1,https://github.com/cemkeylan/kiss-repository,personal/aspell-tr,master," "
pamixer,git 1,https://github.com/cemkeylan/kiss-repository,personal/pamixer,master," "
youtube-dl-git,git 1,https://github.com/cemkeylan/kiss-repository,personal/youtube-dl-git,master," "
stow,2.3.1 1,https://github.com/cemkeylan/kiss-repository,personal/stow,master," "
pulsemixer,1.5.1 1,https://github.com/cemkeylan/kiss-repository,personal/pulsemixer,master," "
st,1.2.4 1,https://github.com/cemkeylan/kiss-repository,personal/st,master," "
dwm-notify-send,git 1,https://github.com/cemkeylan/kiss-repository,personal/dwm-notify-send,master," "
spotifyd,0.2.24 1,https://github.com/cemkeylan/kiss-repository,personal/spotifyd,master," "
zfs,0.8.5 1,https://github.com/cemkeylan/kiss-repository,personal/zfs,master," "
dwm,1.3 2,https://github.com/cemkeylan/kiss-repository,personal/dwm,master," "
source-code-pro,2.030 1,https://github.com/cemkeylan/kiss-repository,personal/source-code-pro,master," "
surf,1.00.0 1,https://github.com/cemkeylan/kiss-repository,personal/surf,master," "
tabbed,1.0.1 1,https://github.com/cemkeylan/kiss-repository,personal/tabbed,master," "
gnu-c-manual,0.2.5 1,https://github.com/cemkeylan/kiss-repository,personal/gnu-c-manual,master," "
nap-utils,git 1,https://github.com/cemkeylan/kiss-repository,personal/nap-utils,master," "
linux,5.8.10 1,https://github.com/cemkeylan/kiss-repository,personal/linux,master," "
xscreenshot,git 1,https://github.com/cemkeylan/kiss-repository,personal/xscreenshot,master," "
